General English 20h;392 €;403 €
General English 30h;462 €;474 €
Cambridge FCE/CAE/CPE 20h;360 €;371 €
Cambridge FCE/CAE/CPE 30h;398 €;410 €
TOEFL ou IELTS 30h;482 €;493 €
One-to-one 5h;488 €;499 €
One-to-one10h ;680 €;691 €
One-to-one 20h;1 192 €;1 203 €
One-to-one 30h;1 704 €;1 715 €
One-to-one 40h;2 216 €;2 227 €
Business English One-to-one 5h;526 €;538 €
Business English One-to-one 10h;744 €;755 €
Business English One-to-one 20h;1 320 €;1 331 €
Business English One-to-one 30h;1 896 €;1 907 €
Business English One-to-one 40h;2 472 €;2 483 €
